,time,u0,u10000,u20000,u30000,u40000,u50000,u60000,u70000,u80000,u90000,u100000
0,2016-02-19 06:00:00,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649,-7.63999986649
1,2016-02-19 09:00:00,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112,-6.98999977112
2,2016-02-19 12:00:00,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5
3,2016-02-19 15:00:00,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569,-1.13999998569
4,2016-02-19 18:00:00,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463,2.09999990463
5,2016-02-19 21:00:00,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815,4.96000003815
6,2016-02-20 00:00:00,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463,6.09999990463
7,2016-02-20 03:00:00,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578,10.2700004578
8,2016-02-20 06:00:00,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185,10.8999996185
9,2016-02-20 09:00:00,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25
10,2016-02-20 12:00:00,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144,11.1300001144
11,2016-02-20 15:00:00,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668,9.60999965668
12,2016-02-20 18:00:00,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463,3.59999990463
13,2016-02-20 21:00:00,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629,5.92000007629
14,2016-02-21 00:00:00,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371,5.57999992371
15,2016-02-21 03:00:00,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185,7.78999996185
16,2016-02-21 06:00:00,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073,4.80000019073
17,2016-02-21 09:00:00,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172,0.230000004172
18,2016-02-21 12:00:00,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569,-1.38999998569
19,2016-02-21 15:00:00,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954,-2.49000000954
20,2016-02-21 18:00:00,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662,-1.40999996662
21,2016-02-21 21:00:00,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629,-3.42000007629
22,2016-02-22 00:00:00,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537,-3.40000009537
23,2016-02-22 03:00:00,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907,-3.73000001907
24,2016-02-22 06:00:00,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907,-4.23000001907
25,2016-02-22 09:00:00,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166,-7.07000017166
26,2016-02-22 12:00:00,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834,-4.42999982834
27,2016-02-22 15:00:00,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907,-3.98000001907
28,2016-02-22 18:00:00,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
